Track Name,Artist,Album,Genre,Popularity
Hero,"Martin Garrix, JVKE",Hero,"dutch edm, edm, pop, pop dance, progressive house",58
"Thaai Kelavi (From ""Thiruchitrambalam"")","Dhanush, Anirudh Ravichander","Thaai Kelavi (From ""Thiruchitrambalam"")","filmi, kollywood",59
"Emai Poyave (From ""Padi Padi Leche Manasu"")",Sid Sriram,The Magical Voice Of Sid Sriram,filmi,0
Levitating,Dua Lipa,Future Nostalgia,"dance pop, pop, uk pop",74
Ram Sita Ram (Telugu),"Sachet-Parampara, Karthik, Parampara Tandon",Adipurush (TELUGU),"desi pop, filmi, modern bollywood",32
Bumble Bee,Bambee,On Ice,bubblegum dance,5
Pillaa,"Vaddepalli Srinivas, Pawan Kalyan",Gabbar Singh,tollywood,51
Princesses Don't Cry,CARYS,Princesses Don't Cry,canadian electropop,62
Sweet but Psycho,Ava Max,Heaven & Hell,pop,79
Nemali,"Pritam, Sunidhi Chauhan, Bhaskarabhatla",Dhoom:3 - Telugu,"filmi, indian instrumental, modern bollywood",7
Hanuman Chalisa,"Sneha Pandit, Taher Shabbir",Hanuman Da’ Damdaar,modern bhajan,39
Neeli Rangu Cheeralona,Hariharan,Govindudu Andarivaadele,"filmi, ghazal",46
Raanu Raanu,"R. P. Patnaik, Usha, Teja",Jayam,tollywood,53
